Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40876575,Utopia for Realists: How We Can Build the Ideal World,Rutger Bregman,"Bregman, Rutger",,"=""""","=""""",0,4.23,"Little, Brown and Company",Kindle Edition,262,2017,2014,2022/09/10,2022/09/10,currently-reading,currently-reading (#2),currently-reading,,,,1,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""0192839993""","=""9780192839992""",0,3.85,Oxford University Press,Paperback,207,2001,1914,2022/08/01,2022/10/08,,,read,,,,1,0
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.04,Vintage Books,Paperback,147,1991,1956,2022/10/01,2022/12/18,,,read,,,,1,0
297779,Master Harold...and the boys,Athol Fugard,"Fugard, Athol",,"=""0140481877""","=""9780140481877""",0,3.79,Penguin Books,Paperback,64,1984,1982,2022/01/01,2022/12/18,,,read,,,,1,0
12220,A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",,"=""0822210894""","=""9780822210894""",0,3.98,Dramatists Play Service,Paperback,107,1952,1947,2022/12/01,2022/12/18,,,read,,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.13,Anchor Books,Paperback,314,1998,1985,2022/10/01,2022/12/18,,,read,,,,1,0
1231892,On Suicide,David Hume,"Hume, David",,"=""0141023953""","=""9780141023953""",3,3.59,Penguin,Paperback,113,2005,1775,2022/08/01,2022/12/18,,,read,,,,1,0
55607293,The Ten Equations That Rule the World: And How You Can Use Them Too,David Sumpter,"Sumpter, David",,"=""""","=""""",0,3.74,Flatiron Books,Kindle Edition,,2021,2020,2022/01/01,2022/09/10,,,read,,,,1,0
7841672,For the Love of Physics: From the End of the Rainbow to the Edge of Time - A Journey Through the Wonders of Physics,Walter Lewin,"Lewin, Walter",Warren Goldstein,"=""1439108277""","=""9781439108277""",0,4.25,Free Press,Hardcover,301,2011,2011,2022/02/01,2022/09/10,,,read,,,,1,0
25431690,Combat Liberalism,Mao Zedong,"Zedong, Mao",,"=""""","=""""",4,4.12,,,,,1937,,2023/01/23,,,read,,,,1,0
52300107,Caffeine: How Caffeine Created the Modern World,Michael Pollan,"Pollan, Michael",,"=""""","=""""",4,3.73,Audible Original,Audible Audio,2,2020,2020,,2023/01/23,,,read,Very interesting but could be better structred,,,1,0
213519,Reform or Revolution,Rosa Luxemburg,"Luxemburg, Rosa","Mary-Alice Waters, Κώστας Βρετός","=""0873483030""","=""9780873483032""",0,4.19,Pathfinder,Paperback,122,1973,1898,,2023/01/22,currently-reading,currently-reading (#4),currently-reading,,,,1,0
15369896,Wage Labour and Capital,Karl Marx,"Marx, Karl",Friedrich Engels,"=""0828500592""","=""9780828500593""",4,4.17,"Imported Publications, Inc.",Paperback,45,1976,1891,,2023/01/22,,,read,Is incredibly intresting to see early Marx,,,1,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",3,3.97,Harper Press,Paperback,273,2005,-400,,2023/01/22,,,read,,,,1,0
2767,A People's History of the United States,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",0,4.07,Harper Perennial,Paperback,729,2005,1980,,2022/09/13,to-read,to-read (#1),to-read,,,,0,0
54270,Mein Kampf,Adolf Hitler,"Hitler, Adolf","Ralph Manheim, Serpil Yener","=""0395083621""","=""9780395083628""",0,3.18,Houghton Mifflin Company,Paperback,384,1973,1925,,2022/09/10,,,read,,,,1,0
16619,Democracy in America,Alexis de Tocqueville,"Tocqueville, Alexis de","Elizabeth Trapnell Rawlings, Isaac Kramnick, Gerald Bevan","=""0140447601""","=""9780140447606""",0,4.04,Penguin Classics,Paperback,983,2003,1835,,2022/09/10,currently-reading,currently-reading (#1),currently-reading,,,,1,0
552175,Progress and Poverty,Henry George,"George, Henry",,"=""0911312587""","=""9780911312584""",5,4.35,Robert Shackelford Publisher,Paperback,598,1996,1879,,2022/09/10,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.80,Scribner,Hardcover,96,1996,1952,,2022/09/10,,,read,,,,1,0
179609,Imperialism: The Highest Stage of Capitalism,Vladimir Lenin,"Lenin, Vladimir",,"=""0745310354""","=""9780745310350""",0,4.20,Pluto Press,Paperback,192,1996,1916,,2022/09/10,,,read,,,,1,0
5956506,Man Alone with Himself,Friedrich Nietzsche,"Nietzsche, Friedrich",,"=""0141036680""","=""9780141036687""",0,3.79,Penguin,Paperback,82,2008,1878,,2022/09/10,,,read,,,,1,0
12321,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich","Michael Tanner, R.J. Hollingdale","=""014044923X""","=""9780140449235""",0,4.02,Penguin Classics,Paperback,240,2003,1886,,2022/09/10,,,read,,,,1,0
30474,The Communist Manifesto,Karl Marx,"Marx, Karl","Friedrich Engels, Leon Trotsky, Samuel Moore, Erkin Özalp, Amanda Lee, Antonio Carlos Braga, Aldrin Alexander Evies, Oqtay Eloğlu","=""0140447571""","=""9780140447576""",0,3.63,Penguin Classics,Paperback,288,2002,1848,,2022/09/10,,,read,,,,1,0
